BACIA;AMBIENTE;ANO;VOLUME PETRÓLEO;VAZÃO PETRÓLEO;VOLUME GÁS;VAZÃO GÁS;VOLUME GÁS SEM CO2;VAZÃO GÁS SEM CO2;VOLUME PETRÓLEO EQUIVALENTE;VAZÃO PETRÓLEO EQUIVALENTE;VOLUME INJEÇÃO ÁGUA;VAZÃO INJEÇÃO ÁGUA;VOLUME INJEÇÃO GÁS;VAZÃO INJEÇÃO GÁS;PERCENTUAL INJEÇÃO TOTAL;VOLUME INJEÇÃO GÁS SEM CO2;VAZÃO INJEÇAÕ GÁS SEM CO2;PERCENTUAL INJEÇÃO SEM CO2;VOLUME QUEIMA;VAZÃO QUEIMA
Ceará;MAR;2025;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ceará;MAR;2026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ceará;MAR;2027;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ceará;MAR;2028;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ceará;MAR;2029;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cumuruxatiba;MAR;2025;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cumuruxatiba;MAR;2026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cumuruxatiba;MAR;2027;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cumuruxatiba;MAR;2028;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cumuruxatiba;MAR;2029;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Espírito Santo;MAR;2025;418948,76;1147,8;173699,73;475,89;173466,42;475,25;592648,49;1623,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8074,06;22,12
Espírito Santo;TERRA;2025;548401,7;1502,47;71792,87;196,69;71792,87;196,69;620194,58;1699,16;3171156,4;8688,1;0,0;0,0;0,0;0,0;0,0;0,0;11031,38;30,22
