ATIVIDADE;ANO;INVESTIMENTO R$;INVESTIMENTO US$
Remoção dos Demais Equipamentos do Sistema Submarino;2026;346351074,5;65882850,0
Remoção dos Demais Equipamentos do Sistema Submarino;2027;53774745,6;9956580,0
Remoção dos Demais Equipamentos do Sistema Submarino;2028;94062276,0;17618940,0
Remoção dos Demais Equipamentos do Sistema Submarino;2029;222418914,7;40808270,0
Sem Atividade;2025;0,0;0,0
Sem Atividade;2026;0,0;0,0
Sem Atividade;2027;0,0;0,0
Sem Atividade;2028;0,0;0,0
Sem Atividade;2029;0,0;0,0
Teste de Formação - poço exploratório;2025;7639964,6;1436010,0
Teste de Formação - poço exploratório;2026;148779883,2;26667520,0
Teste de Formação - poço exploratório;2027;1619886,4;237520,0
Teste de Formação - poço exploratório;2028;52000000,0;10000000,0
Teste de Formação - poço explotatório;2025;3345953,6;612940,0
Teste de Formação - poço explotatório;2026;200372347,2;36426510,0
Teste de Formação - poço explotatório;2027;4517458,4;824710,0
Teste de Formação - poço explotatório;2028;1817832,4;327930,0
Teste de Formação - poço explotatório;2029;945852,8;173870,0
Teste de Longa Duração - TLD;2025;1140666,5;215510,0
Teste de Longa Duração - TLD;2026;9169985,0;1667270,0
UEP - alteração/ampliação/melhorias;2025;8147232708,3;1591432260,0
UEP - alteração/ampliação/melhorias;2026;7082701744,4;1414106120,0
UEP - alteração/ampliação/melhorias;2027;6435943247,6;1308757150,0
UEP - alteração/ampliação/melhorias;2028;4917432575,2;1017007420,0
UEP - alteração/ampliação/melhorias;2029;3453000061,7;719434640,0
UEP - construção;2025;40227629533,0;7930827500,0
UEP - construção;2026;40620863587,8;8190084350,0
UEP - construção;2027;32441702948,4;6612675120,0
UEP - construção;2028;23585467745,3;4877454930,0
UEP - construção;2029;16428770318,8;3418467020,0
UEP - instalação;2025;1958777086,2;391706660,0
UEP - instalação;2026;2055688844,8;412032620,0
UEP - instalação;2027;2694633892,9;525721590,0
UEP - instalação;2028;1047145339,7;213424170,0
UEP - instalação;2029;539159334,4;112559360,0
